"Phishing URL","Target","URL_Size","NH","ND","NNC","IP","NL","L","JW","LCS","QG","H","status"
"kinsloglasswall.com","capitecbank.co.za","19","0","1","0","0","0.89473684210526","17","0.45053812861443","26","30","18","phish"
"zooplaneta.sumy.ua","capitecbank.co.za","18","0","2","0","0","0.77777777777778","14","0.60239654779434","23","31","18","phish"
"aussiehydrovac.staginghost.com.au","capitecbank.co.za","33","0","3","0","0","0.75757575757576","25","0.5509507060051","28","44","31","phish"
"guneva.net","capitecbank.co.za","10","0","1","0","0","0.82352941176471","14","0.46470591425896","21","25","17","phish"
"reg-playiing.byethost11.com","zynga.com","27","1","2","2","0","0.74074074074074","20","0.51851850748062","22","26","27","phish"
"tehdetali.com","santander.co.uk","13","0","1","0","0","0.8","12","0.62075704336166","16","18","12","phish"
"j.mp","facebook.com","4","0","1","0","0","0.91666666666667","11","0","12","14","12","phish"
"susan21.5gbfree.com","facebook.com","19","0","2","3","0","0.68421052631579","13","0.54970759153366","19","23","19","phish"
"suports9.5gbfree.com","facebook.com","20","0","2","2","0","0.75","15","0.54444444179535","20","24","19","phish"
"jhcobasydney.org.au","santander.co.uk","19","0","2","0","0","0.73684210526316","14","0.6495481133461","20","30","18","phish"
"zy0570.cn","tesco.com","9","0","1","4","0","0.88888888888889","8","0.48148146271706","14","14","9","phish"
"5starbball.tv","capitecbank.co.za","13","0","1","1","0","0.82352941176471","14","0.49291101098061","22","26","17","phish"
"close1.5gbfree.com","facebook.com","18","0","2","2","0","0.66666666666667","12","0.62037038803101","16","22","18","phish"
"loucurawalmrt.com.br","walmart.com","20","0","2","0","0","0.55","11","0.72878789901733","11","13","18","phish"
"matchvision.net","capitecbank.co.za","15","0","1","0","0","0.82352941176471","14","0.48328664898872","22","30","15","phish"
"affirmwelding.wmehost.com","capitecbank.co.za","25","0","2","0","0","0.76","19","0.55519610643387","28","36","24","phish"
"daltonsmachines.com","capitecbank.co.za","19","0","1","0","0","0.78947368421053","15","0.63818365335464","22","30","17","phish"
